antecedents,consequents,confidence,support,zhangs_metric,lift
frozenset({'ALDOC_downregulated'}),frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),0.9523809523809524,0.8333333333333334,0.9999999999999996,1.1428571428571428
frozenset({'C6_upregulated'}),frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),0.8636363636363636,0.7916666666666666,0.42105263157894735,1.0363636363636364
frozenset({'SLC14A2_downregulated'}),frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),0.8571428571428571,0.75,0.22222222222222143,1.0285714285714285
frozenset({'SLC27A2_upregulated'}),frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),0.8181818181818182,0.75,-0.1818181818181811,0.9818181818181818
"frozenset({'ALDOC_downregulated', 'C6_upregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),0.95,0.7916666666666666,0.7368421052631571,1.14
"frozenset({'ALDOC_downregulated', 'SLC14A2_downregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),0.9473684210526316,0.75,0.5777777777777777,1.1368421052631579
"frozenset({'SLC14A2_downregulated', 'C6_upregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),0.8947368421052633,0.7083333333333334,0.3294117647058826,1.0736842105263158
"frozenset({'ALDOC_downregulated', 'SLC27A2_upregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),0.9473684210526316,0.75,0.5777777777777777,1.1368421052631579
"frozenset({'SLC27A2_upregulated', 'C6_upregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),0.85,0.7083333333333334,0.11764705882352901,1.02
frozenset({'NNAT_downregulated'}),frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),0.95,0.7916666666666666,0.7368421052631571,1.14
"frozenset({'NNAT_downregulated', 'ALDOC_downregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),0.95,0.7916666666666666,0.7368421052631571,1.14
"frozenset({'NNAT_downregulated', 'C6_upregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),0.9473684210526316,0.75,0.5777777777777777,1.1368421052631579
"frozenset({'NNAT_downregulated', 'SLC14A2_downregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),0.9444444444444445,0.7083333333333334,0.4705882352941178,1.1333333333333333
"frozenset({'NNAT_downregulated', 'SLC27A2_upregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),0.9444444444444445,0.7083333333333334,0.4705882352941178,1.1333333333333333
frozenset({'GYS2_downregulated'}),frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),0.8999999999999999,0.75,0.44444444444444386,1.0799999999999998
"frozenset({'NNAT_downregulated', 'GYS2_downregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),1.0,0.75,0.6666666666666666,1.2
"frozenset({'GYS2_downregulated', 'C6_upregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),0.8947368421052633,0.7083333333333334,0.3294117647058826,1.0736842105263158
"frozenset({'GYS2_downregulated', 'ALDOC_downregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),1.0,0.75,0.6666666666666666,1.2
frozenset({'ATP6V0D2_upregulated'}),frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),0.8947368421052633,0.7083333333333334,0.3294117647058826,1.0736842105263158
"frozenset({'ATP6V0D2_upregulated', 'NNAT_downregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),1.0,0.7083333333333334,0.5714285714285716,1.2
"frozenset({'ATP6V0D2_upregulated', 'ALDOC_downregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),1.0,0.7083333333333334,0.5714285714285716,1.2
frozenset({'FASN_downregulated'}),frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),0.9473684210526316,0.75,0.5777777777777777,1.1368421052631579
"frozenset({'ALDOC_downregulated', 'FASN_downregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),0.9473684210526316,0.75,0.5777777777777777,1.1368421052631579
"frozenset({'NNAT_downregulated', 'FASN_downregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),0.9444444444444445,0.7083333333333334,0.4705882352941178,1.1333333333333333
"frozenset({'SLC14A2_downregulated', 'FASN_downregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),0.9444444444444445,0.7083333333333334,0.4705882352941178,1.1333333333333333
"frozenset({'FASN_downregulated', 'C6_upregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),0.9444444444444445,0.7083333333333334,0.4705882352941178,1.1333333333333333
"frozenset({'GYS2_downregulated', 'FASN_downregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),1.0,0.7083333333333334,0.5714285714285716,1.2
frozenset({'KLB_downregulated'}),frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),1.0,0.7916666666666666,0.7999999999999997,1.2
"frozenset({'NNAT_downregulated', 'KLB_downregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),1.0,0.7916666666666666,0.7999999999999997,1.2
"frozenset({'KLB_downregulated', 'ALDOC_downregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),1.0,0.7916666666666666,0.7999999999999997,1.2
"frozenset({'KLB_downregulated', 'GYS2_downregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),1.0,0.75,0.6666666666666666,1.2
"frozenset({'KLB_downregulated', 'C6_upregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),1.0,0.75,0.6666666666666666,1.2
"frozenset({'KLB_downregulated', 'FASN_downregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),1.0,0.7083333333333334,0.5714285714285716,1.2
"frozenset({'ATP6V0D2_upregulated', 'KLB_downregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),1.0,0.7083333333333334,0.5714285714285716,1.2
"frozenset({'KLB_downregulated', 'SLC14A2_downregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),1.0,0.7083333333333334,0.5714285714285716,1.2
"frozenset({'KLB_downregulated', 'SLC27A2_upregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),1.0,0.7083333333333334,0.5714285714285716,1.2
frozenset({'MS4A6E_upregulated'}),frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),0.8947368421052633,0.7083333333333334,0.3294117647058826,1.0736842105263158
"frozenset({'MS4A6E_upregulated', 'ALDOC_downregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),0.9444444444444445,0.7083333333333334,0.4705882352941178,1.1333333333333333
frozenset({'HSPB7_downregulated'}),frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),0.8947368421052633,0.7083333333333334,0.3294117647058826,1.0736842105263158
"frozenset({'HSPB7_downregulated', 'NNAT_downregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),1.0,0.7083333333333334,0.5714285714285716,1.2
"frozenset({'HSPB7_downregulated', 'KLB_downregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),1.0,0.7083333333333334,0.5714285714285716,1.2
"frozenset({'HSPB7_downregulated', 'ALDOC_downregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),1.0,0.7083333333333334,0.5714285714285716,1.2
frozenset({'P2RX6_downregulated'}),frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),0.8947368421052633,0.7083333333333334,0.3294117647058826,1.0736842105263158
"frozenset({'P2RX6_downregulated', 'C6_upregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),0.9444444444444445,0.7083333333333334,0.4705882352941178,1.1333333333333333
"frozenset({'ALDOC_downregulated', 'P2RX6_downregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),1.0,0.7083333333333334,0.5714285714285716,1.2
frozenset({'RARRES1_upregulated'}),frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),0.8947368421052633,0.7083333333333334,0.3294117647058826,1.0736842105263158
"frozenset({'KLB_downregulated', 'RARRES1_upregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),1.0,0.7083333333333334,0.5714285714285716,1.2
"frozenset({'RARRES1_upregulated', 'ALDOC_downregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),0.9444444444444445,0.7083333333333334,0.4705882352941178,1.1333333333333333
"frozenset({'NNAT_downregulated', 'RARRES1_upregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),0.9444444444444445,0.7083333333333334,0.4705882352941178,1.1333333333333333
frozenset({'STC1_downregulated'}),frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),0.9444444444444445,0.7083333333333334,0.4705882352941178,1.1333333333333333
"frozenset({'ALDOC_downregulated', 'STC1_downregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),1.0,0.7083333333333334,0.5714285714285716,1.2
frozenset({'HPD_downregulated'}),frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),1.0,0.75,0.6666666666666666,1.2
"frozenset({'NNAT_downregulated', 'HPD_downregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),1.0,0.75,0.6666666666666666,1.2
"frozenset({'HPD_downregulated', 'KLB_downregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),1.0,0.75,0.6666666666666666,1.2
"frozenset({'HPD_downregulated', 'ALDOC_downregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),1.0,0.75,0.6666666666666666,1.2
"frozenset({'HPD_downregulated', 'GYS2_downregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),1.0,0.7083333333333334,0.5714285714285716,1.2
"frozenset({'HPD_downregulated', 'C6_upregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),1.0,0.7083333333333334,0.5714285714285716,1.2
frozenset({'ALCAM_upregulated'}),frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),0.9444444444444445,0.7083333333333334,0.4705882352941178,1.1333333333333333
"frozenset({'ALCAM_upregulated', 'ALDOC_downregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),1.0,0.7083333333333334,0.5714285714285716,1.2
frozenset({'ACP5_upregulated'}),frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),0.9444444444444445,0.7083333333333334,0.4705882352941178,1.1333333333333333
"frozenset({'ACP5_upregulated', 'ALDOC_downregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),1.0,0.7083333333333334,0.5714285714285716,1.2
frozenset({'SREBF1_downregulated'}),frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),0.9444444444444445,0.7083333333333334,0.4705882352941178,1.1333333333333333
"frozenset({'FASN_downregulated', 'SREBF1_downregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),1.0,0.7083333333333334,0.5714285714285716,1.2
"frozenset({'ALDOC_downregulated', 'SREBF1_downregulated'})",frozenset({'BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS_downregulated'}),1.0,0.7083333333333334,0.5714285714285716,1.2
